ID,category,answer_en,answer_hi,keywords_en,keywords_hi
191,General,"If a licence expires, the contractor must stop work until renewal or risk penalty by authorities.","यदि लाइसेंस की अवधि समाप्त हो जाती है, तो ठेकेदार को नवीनीकरण तक काम बंद करना होगा या अधिकारियों द्वारा लगाए गए जुर्माने का जोखिम उठाना होगा।","licence expires,penalty","लाइसेंस समाप्त,जुर्माना"
192,General,"A labour licence is required for contractors who hire 20 or more contract workers.","20 या उससे अधिक संविदा श्रमिकों को काम पर रखने वाले ठेकेदारों के लिए एक श्रमिक लाइसेंस आवश्यक है।","labour licence,contract workers","श्रमिक लाइसेंस,संविदा श्रमिक"
193,General,"Inspection lists are issued based on 15 risk-based parameters to prioritize high-risk institutions.","निरीक्षण सूचियां उच्च जोखिम वाले संस्थानों को प्राथमिकता देने के लिए 15 जोखिम-आधारित मापदंडों के आधार पर जारी की जाती हैं।","inspection list,risk-based parameters","निरीक्षण सूची,जोखिम-आधारित मापदंड"
194,General,"In case of any technical problem, you can send your problem via e-mail to lcmpit@mp.gov.in or commlab@nic.in.","किसी भी तकनीकी समस्या की स्थिति में, आप अपनी समस्या ई-मेल के माध्यम से lcmpit@mp.gov.in या commlab@nic.in पर भेज सकते हैं।","technical support,email support","तकनीकी सहायता,ईमेल सहायता"
195,Wage Components,"Basic pay, Special allowance, and Variable Dearness Allowance (VDA)","मूल वेतन, विशेष भत्ता, और परिवर्तनीय महंगाई भत्ता (वीडीए)","Wage Components,Basic Pay,Allowance","वेतन घटक,मूल वेतन,भत्ता"
196,Rates,"Daily and monthly wage rates for different worker categories are revised.","विभिन्न श्रमिक श्रेणियों के लिए दैनिक और मासिक मजदूरी दरों को संशोधित किया गया है","Rates,Daily Wage,Monthly Wage","दरें,दैनिक मजदूरी,मासिक मजदूरी"
197,Compliance,"Employers must pay wages as per the revised rates","नियोक्ताओं को संशोधित दरों के अनुसार मजदूरी का भुगतान करना होगा","Compliance,Payment","अनुपालन,भुगतान"
198,Revision Frequency,"The rates are revised every six months based on the Consumer Price Index (CPI)","दरों को हर छह महीने में उपभोक्ता मूल्य सूचकांक (सीपीआई) के आधार पर संशोधित किया जाता है","Revision,Frequency","पुनरीक्षण,आवृत्ति"
199,Complaint Mechanism,"Workers can file a complaint with the Labour Commissioner's Office if they are paid less than the minimum wage","यदि श्रमिकों को न्यूनतम मजदूरी से कम भुगतान किया जाता है, तो वे श्रम आयुक्त कार्यालय में शिकायत दर्ज कर सकते हैं","Complaint,Grievance,Helpline","शिकायत,शिकायत,हेल्पलाइन"
200,Penalty,"Non-compliance can result in penalties, fines, and legal action against the employer","गैर-अनुपालन के परिणामस्वरूप नियोक्ता के खिलाफ जुर्माना और कानूनी कार्रवाई हो सकती है","Penalty,Fine,Legal Action","जुर्माना,कानूनी कार्रवाई"
201,General,"The name of the issuing office is the Labour Commissioner Office, Government of Madhya Pradesh, Indore.","जारी करने वाले कार्यालय का नाम श्रम आयुक्त कार्यालय, मध्य प्रदेश शासन, इंदौर है।","issuing office,name","कार्यालय का नाम"
202,General,"The office address is 518, Indore - 452007","कार्यालय का पता 518, इंदौर - 452007 है।","office address,location","कार्यालय का पता"
203,General,"The official email address is lcmpenf@mp.gov.in.","आधिकारिक ईमेल पता lcmpenf@mp.gov.in है।","official email","आधिकारिक ईमेल"
204,General,"The official website is labour.mponline.gov.in.","आधिकारिक वेबसाइट labour.mponline.gov.in है।","official website","आधिकारिक वेबसाइट"
205,General,"The employer is responsible for the payment.","भुगतान के लिए नियोक्ता जिम्मेदार है।","responsible for payment","भुगतान के लिए जिम्मेदार"
206,General,"The daily rate for unskilled workers is ₹400.","अकुशल श्रमिकों के लिए दैनिक दर ₹400 है।","unskilled workers,daily rate","अकुशल श्रमिक,दैनिक दर"
207,General,"The daily rate for semi-skilled workers is ₹450.","अर्ध-कुशल श्रमिकों के लिए दैनिक दर ₹450 है।","semi-skilled workers,daily rate","अर्ध-कुशल श्रमिक,दैनिक दर"
208,General,"The daily rate for skilled workers is ₹500.","कुशल श्रमिकों के लिए दैनिक दर ₹500 है।","skilled workers,daily rate","कुशल श्रमिक,दैनिक दर"
209,General,"The daily rate for highly skilled workers is ₹550.","उच्च कुशल श्रमिकों के लिए दैनिक दर ₹550 है।","highly skilled workers,daily rate","उच्च कुशल श्रमिक,दैनिक दर"
210,General,"The monthly rate for unskilled workers is ₹10,400.","अकुशल श्रमिकों के लिए मासिक दर ₹10,400 है।","unskilled workers,monthly rate","अकुशल श्रमिक,मासिक दर"
211,General,"The monthly rate for semi-skilled workers is ₹11,700.","अर्ध-कुशल श्रमिकों के लिए मासिक दर ₹11,700 है।","semi-skilled workers,monthly rate","अर्ध-कुशल श्रमिक,मासिक दर"
12,General,"The monthly rate for skilled workers is ₹13,000.","कुशल श्रमिकों के लिए मासिक दर ₹13,000 है।","skilled workers,monthly rate","कुशल श्रमिक,मासिक दर"
213,General,"The monthly rate for highly skilled workers is ₹14,300.","उच्च कुशल श्रमिकों के लिए मासिक दर ₹14,300 है।","highly skilled workers,monthly rate","उच्च कुशल श्रमिक,मासिक दर"
214,General," The calculation for Variable Dearness Allowance (VDA) is based on the Consumer Price Index (CPI).","परिवर्तनीय महंगाई भत्ता (वीडीए) की गणना उपभोक्ता मूल्य सूचकांक (सीपीआई) के आधार पर की जाती है।","vda,calculation","वीडीए,गणना"
215,General,"What is the effective date of the revised wages?","संशोधित मजदूरी की प्रभावी तिथि क्या है?","effective date,revised wages","प्रभावी तिथि,संशोधित मजदूरी"
216,General,"Penalties for non-compliance can include fines and legal action against the employer.","गैर-अनुपालन के लिए जुर्माना और कानूनी कार्रवाई हो सकती है।","penalties,non-compliance","जुर्माना,गैर-अनुपालन"
217,General,"You can get a copy of the notification from the Labour Commissioner's Office.","अधिसूचना की प्रति श्रम आयुक्त कार्यालय से प्राप्त कर सकते हैं।","notification,copy","अधिसूचना,प्रति"
218,General,"The process for lodging a complaint is to file it with the Labour Commissioner's Office or the local Labour Inspector.","आप शिकायत श्रम आयुक्त कार्यालय या स्थानीय श्रम निरीक्षक के पास दर्ज कर सकते हैं।","complaint,lodging","शिकायत,दर्ज करना"
219,General,"The competent authority to address complaints is the Labour Commissioner's Office.","शिकायतों का समाधान करने के लिए सक्षम प्राधिकारी श्रम आयुक्त कार्यालय है।","competent authority,complaints","सक्षम प्राधिकारी,शिकायत"
220,General,"The revision period for wages is every six months.","मजदूरी का पुनरीक्षण हर छह महीने में होता है।","revision period,wages","पुनरीक्षण काल,मजदूरी"
221,General,"The process for final settlement is that wages must be paid within two days of a worker's resignation or termination.","अंतिम निपटान की प्रक्रिया यह है कि श्रमिक के इस्तीफे या समाप्ति के दो दिन के भीतर मजदूरी का भुगतान किया जाना चाहिए।","final settlement,process","अंतिम निपटान,प्रक्रिया"
222,General,"Yes, you can get the payment in cash or through a bank transfer, as per your choice.","हाँ, आप अपनी पसंद के अनुसार नकद या बैंक ट्रांसफर के माध्यम से भुगतान प्राप्त कर सकते हैं।","payment,cash","भुगतान,नकद"
223,General,"Employers must maintain registers and records of their workers, wages, and working hours.","नियोक्ताओं को अपने श्रमिकों, मजदूरी और कार्य घंटों के रजिस्टर और रिकॉर्ड बनाए रखने चाहिए।","records,employers","रिकॉर्ड,नियोक्ता"
224,General,"You can get a licence by applying for it with the Labour Department.","आप श्रम विभाग के साथ आवेदन करके एक लाइसेंस प्राप्त कर सकते हैं।","licence,get","लाइसेंस,प्राप्त करना"
225,General,"You need documents and an application form for a licence.","आपको एक लाइसेंस के लिए दस्तावेज और एक आवेदन पत्र की आवश्यकता है।","licence,documents","लाइसेंस,दस्तावेज"
226,General,"The helpline number is 155214."," हेल्पलाइन नंबर 155214 है।","what is helpline number","हेल्पलाइन नंबर"
227,General,"The email for technical support is lcmpit@mp.gov.in or commlab@nic.in","तकनीकी सहायता के लिए ईमेल lcmpit@mp.gov.in या commlab@nic.in है।","technical support,email","तकनीकी सहायता,ईमेल"
228,General,"The criteria for inspection are 15 risk-based parameters.","निरीक्षण के लिए 15 जोखिम-आधारित मापदंड हैं।","inspection,criteria","निरीक्षण,मापदंड"
229,General,"You can check the status of your application on the portal using your docket number and password.","आप डॉकेट नंबर और पासवर्ड का उपयोग करके पोर्टल पर अपने आवेदन की स्थिति की जांच कर सकते हैं।","application status,check","आवेदन की स्थिति,जांच"
230,General,"The minimum wage for a male worker is the same as for a female worker for the same work.","एक पुरुष श्रमिक के लिए न्यूनतम मजदूरी वही है जो एक महिला श्रमिक के लिए समान काम के लिए है।","male worker,minimum wage","पुरुष श्रमिक,न्यूनतम मजदूरी"
231,General,"The minimum wage for a female worker is the same as for a male worker for the same work.","एक महिला श्रमिक के लिए न्यूनतम मजदूरी वही है जो एक पुरुष श्रमिक के लिए समान काम के लिए है।","female worker,minimum wage","महिला श्रमिक,न्यूनतम मजदूरी"
232,General,"The minimum wage for a disabled worker is the same as for a non-disabled worker for the same work","एक विकलांग श्रमिक के लिए न्यूनतम मजदूरी वही है जो एक गैर-विकलांग श्रमिक के लिए समान काम के लिए है।","disabled worker,minimum wage","विकलांग श्रमिक,न्यूनतम मजदूरी"
233,General,"The minimum wage for a child worker is determined by the Child Labour Act, 1986.","एक बाल श्रमिक के लिए न्यूनतम मजदूरी क्या है?एक बाल श्रमिक के लिए न्यूनतम मजदूरी बाल श्रम अधिनियम, 1986 द्वारा निर्धारित की जाती है।","child worker,minimum wage","बाल श्रमिक,न्यूनतम मजदूरी"
234,General,"Yes, there are special allowances for Variable Dearness Allowance (VDA).","हाँ, परिवर्तनीय महंगाई भत्ता (वीडीए) के लिए विशेष भत्ते हैं।","special allowances,allowances","विशेष भत्ते,भत्ते"
235,General,"The penalty for not maintaining records is a fine and legal action.","रिकॉर्ड नहीं रखने पर जुर्माना और कानूनी कार्रवाई होती है।","penalty,records","जुर्माना,रिकॉर्ड"
236,General,"The maximum fine for non-compliance is determined by the Labour Department.","गैर-अनुपालन के लिए अधिकतम जुर्माना श्रम विभाग द्वारा निर्धारित किया जाता है।","maximum fine,non-compliance","अधिकतम जुर्माना,गैर-अनुपालन"
237,General,"The procedure for registering a complaint is to file it with the Labour Department or the local Labour Inspector.","शिकायत दर्ज करने की प्रक्रिया श्रम विभाग या स्थानीय श्रम निरीक्षक के पास दर्ज करना है।","complaint,procedure","शिकायत,प्रक्रिया"
238,General,"The Labour Department enforces the wage rates.","मजदूरी दरों को श्रम विभाग लागू करता है।","enforcement,wage rates","प्रवर्तन,मजदूरी दरें"
239,General,"The wage rates are revised every six months.","मजदूरी दरों को हर छह महीने में संशोधित किया जाता है।","wage revision,frequency","मजदूरी पुनरीक्षण,आवृत्ति"
240,General,"The daily working hours are 8 hours.","दैनिक काम के घंटे 8 घंटे हैं।","daily working hours","दैनिक काम के घंटे"
241,General,"The weekly working hours are 48 hours.","साप्ताहिक काम के घंटे 48 घंटे हैं।","weekly working hours","साप्ताहिक काम के घंटे"
242,General,"The rules for overtime are that workers must be paid double the normal wage rate for overtime work.","ओवरटाइम के नियम क्या हैं?","overtime,rules","ओवरटाइम,नियम"
243,General,"Overtime is calculated as double the normal wage rate.","ओवरटाइम की गणना कैसे की जाती है?","overtime,calculation","ओवरटाइम,गणना"
244,General,"Yes, women can work night shifts with proper safety and transport arrangements by the employer.","हाँ, महिला श्रमिकों को नियोक्ता द्वारा उचित सुरक्षा और परिवहन व्यवस्था के साथ रात की पाली में काम करने की अनुमति है।","night shifts,rules","रात की पाली,नियम"
245,General,"The rules for breaks are that workers are entitled to regular breaks.","अवकाश के नियम यह हैं कि श्रमिकों को नियमित अवकाश का अधिकार है।","breaks,rules","अवकाश,नियम"
246,General,"The rules for weekly holidays are that workers are entitled to a paid holiday for every 20 days of work.","साप्ताहिक छुट्टियों के नियम यह हैं कि श्रमिकों को हर 20 दिनों के काम के लिए एक सशुल्क छुट्टी का अधिकार है।","weekly holidays,rules","साप्ताहिक छुट्टियाँ,नियम"
247,Implementation Date,"The revised wages are effective from 01.04.2024","संशोधित मजदूरी 01.04.2024 से प्रभावी हैं","Effective Date,Implementation","प्रभावी तिथि,कार्यान्वयन"
248,Queries,"For any queries, contact the Labour Commissioner's Office","किसी भी प्रश्न के लिए, श्रम आयुक्त कार्यालय से संपर्क करें","Queries,Contact","प्रश्न,संपर्क"
249,Enforcement,"The Labour Department is responsible for the enforcement of the revised wage rates","श्रम विभाग संशोधित मजदूरी दरों के प्रवर्तन के लिए जिम्मेदार है","Enforcement,Department","प्रवर्तन,विभाग"
250,Unskilled Worker Wage,"Daily wage: ₹400, Monthly wage: ₹10,400","अकुशल श्रमिक मजदूरी: दैनिक: ₹400, मासिक: ₹10,400","Unskilled Worker,Daily Wage,Monthly Wage","अकुशल श्रमिक,दैनिक मजदूरी,मासिक मजदूरी"
251,Semi-skilled Worker Wage,"Daily wage: ₹450, Monthly wage: ₹11,700","अर्ध-कुशल श्रमिक मजदूरी: दैनिक: ₹450, मासिक: ₹11,700","Semi-skilled Worker,Daily Wage,Monthly Wage","अर्ध-कुशल श्रमिक,दैनिक मजदूरी,मासिक मजदूरी"
252,Skilled Worker Wage,"Daily wage: ₹500, Monthly wage: ₹13,000","कुशल श्रमिक मजदूरी: दैनिक: ₹500, मासिक: ₹13,000","Skilled Worker,Daily Wage,Monthly Wage","कुशल श्रमिक,दैनिक मजदूरी,मासिक मजदूरी"
253,Highly Skilled Worker Wage,"Daily wage: ₹550, Monthly wage: ₹14,300","उच्च कुशल श्रमिक मजदूरी: दैनिक: ₹550, मासिक: ₹14,300","Highly Skilled Worker,Daily Wage,Monthly Wage","उच्च कुशल श्रमिक,दैनिक मजदूरी,मासिक मजदूरी"
254,Bonus Eligibility,"Workers are eligible for a bonus if they have worked for at least 30 days in a year.","यदि श्रमिकों ने एक वर्ष में कम से कम 30 दिन काम किया है, तो वे बोनस के लिए पात्र हैं।","Bonus,Eligibility,30 days","बोनस,पात्रता,30 दिन"
255,Bonus Calculation,"The bonus is calculated as 8.33% of the worker's salary or a minimum of ₹100, whichever is higher.","बोनस की गणना श्रमिक के वेतन के 8.33% या न्यूनतम ₹100, जो भी अधिक हो, के रूप में की जाती है।","Bonus,Calculation","बोनस,गणना"
256,Final Settlement,"The final settlement of wages must be done within two days of a worker's resignation or termination.","एक श्रमिक के इस्तीफे या समाप्ति के दो दिनों के भीतर मजदूरी का अंतिम निपटान किया जाना चाहिए।","Final Settlement,Resignation","अंतिम निपटान,इस्तीफा"
257,Payment Method,"Wages can be paid in cash or through bank transfer, as per the worker's choice.","श्रमिक की पसंद के अनुसार, मजदूरी का भुगतान नकद या बैंक हस्तांतरण के माध्यम से किया जा सकता है।","Payment Method,Cash,Bank Transfer","भुगतान विधि,नकद,बैंक हस्तांतरण"
258,Complaint Redressal,"A worker can approach the local Labour Inspector or the Labour Commissioner's Office for complaint redressal.","एक श्रमिक शिकायत निवारण के लिए स्थानीय श्रम निरीक्षक या श्रम आयुक्त कार्यालय से संपर्क कर सकता है।","Complaint,Redressal,Labour Inspector","शिकायत,निवारण,श्रम निरीक्षक"
259,Right to Form Union,"Workers have the right to join or form a trade union for protecting their rights.","श्रमिकों को अपने अधिकारों की रक्षा के लिए एक ट्रेड यूनियन में शामिल होने या बनाने का अधिकार है।","Right to Union,Trade Union","यूनियन का अधिकार,ट्रेड यूनियन"
260,Equal Pay,"The Equal Remuneration Act, 1976, ensures that men and women get equal pay for equal work.","समान पारिश्रमिक अधिनियम, 1976, यह सुनिश्चित करता है कि पुरुषों और महिलाओं को समान काम के लिए समान वेतन मिले","Equal Pay,Equal Work","समान वेतन,समान काम"
261,Child Labour,"The Child Labour Act, 1986, prohibits the employment of children below 14 years.","बाल श्रम अधिनियम, 1986, 14 वर्ष से कम उम्र के बच्चों के रोजगार पर प्रतिबंध लगाता है","Child Labour,Prohibition","बाल श्रम,निषेध"
262,Crèche Facility,"Workplaces with over 30 women must provide crèche facilities for children below 6 years.","30 से अधिक महिला श्रमिकों वाले कार्यस्थलों पर 6 वर्ष से कम उम्र के बच्चों के लिए क्रेच सुविधाएं प्रदान करना होगा।","Creche Facility,Women Workers","क्रेच सुविधा,महिला श्रमिक"
263,Maternity Benefit,"Women workers are entitled to 26 weeks of paid maternity leave under the Maternity Benefit Act, 1961.","मातृत्व लाभ अधिनियम, 1961 के तहत महिला श्रमिक 26 सप्ताह के सशुल्क मातृत्व अवकाश के हकदार हैं।","Maternity Benefit,Paid Leave","मातृत्व लाभ,सशुल्क अवकाश"
264,Maternity Benefits in Unorganised Sector,"Women in the unorganised sector may get cash assistance and benefits under government schemes like PMMVY.","असंगठित क्षेत्र में महिलाओं को पीएमएमवीवाई जैसी सरकारी योजनाओं के माध्यम से नकद सहायता और लाभ मिल सकते हैं।","Maternity Benefits,Unorganised Sector","मातृत्व लाभ,असंगठित क्षेत्र"
265,Grievance Redressal,"The MP Labour Department has a dedicated online portal for grievance redressal.","एमपी श्रम विभाग के पास शिकायत निवारण के लिए एक समर्पित ऑनलाइन पोर्टल है।","Grievance Portal,Labour Department","शिकायत पोर्टल,श्रम विभाग"
266,Helpline Number,"The MP Labour Helpline number is 155214.","एमपी श्रम हेल्पलाइन नंबर 155214 है।","Helpline,Contact","हेल्पलाइन,संपर्क"
267,Interstate Migrant Worker Rights,"Migrant workers have the right to equal wages, housing, and social security like local workers.","प्रवासी श्रमिकों को स्थानीय श्रमिकों की तरह समान मजदूरी, आवास और सामाजिक सुरक्षा का अधिकार होता है।","Migrant Workers,Interstate","प्रवासी श्रमिक,अंतरराज्यीय"
268,E-Shram Card,"The E-Shram card is a national identity card and is valid across India.","ई-श्रम कार्ड एक राष्ट्रीय पहचान पत्र है और पूरे भारत में मान्य है।","E-Shram Card,Validity","ई-श्रम कार्ड,मान्यता"
269,E-Shram Registration,"You can update Aadhaar details online on eshram.gov.in or visit a CSC centre.","आप eshram.gov.in पर ऑनलाइन आधार अपडेट कर सकते हैं या सीएससी केंद्र जा सकते हैं।","Aadhaar,E-Shram,Registration","आधार,ई-श्रम,पंजीकरण"
270,Housing Scheme,"Under the Pradhan Mantri Awas Yojana, eligible laborers can get financial assistance for constructing a house.","प्रधानमंत्री आवास योजना के तहत, पात्र श्रमिकों को घर बनाने के लिए वित्तीय सहायता मिल सकती है।","Housing Scheme,PMAY","आवास योजना,पीएमएवाई"
271,Safety Gear,"Employers must provide safety gear like helmet, gloves, and shoes for free.","नियोक्ताओं को हेलमेट, दस्ताने और जूते जैसे सुरक्षा उपकरण मुफ्त प्रदान करने होंगे।","Safety Gear,PPE","सुरक्षा उपकरण,पीपीई"
272,Workplace Safety,"The Factories Act, 1948, makes it mandatory for factories to ensure the safety and health of their workers.","कारखाना अधिनियम, 1948, कारखानों के लिए श्रमिकों की सुरक्षा और स्वास्थ्य सुनिश्चित करना अनिवार्य बनाता है।","Factories Act,Safety,Health","कारखाना अधिनियम,सुरक्षा,स्वास्थ्य"
273,Ambulance Room,"Workplaces with over 100 workers must have an ambulance room for first aid and medical emergencies.","100 से अधिक श्रमिकों वाले कार्यस्थलों पर प्राथमिक चिकित्सा और चिकित्सा आपात स्थितियों के लिए एक एम्बुलेंस कक्ष होना चाहिए।","Ambulance Room,First Aid","एम्बुलेंस कक्ष,प्राथमिक चिकित्सा"
274,Overtime Calculation,"The bonus is calculated as 8.33% of the worker's salary or a minimum of ₹100, whichever is higher.","बोनस की गणना श्रमिक के वेतन के 8.33% या न्यूनतम ₹100, जो भी अधिक हो, के रूप में की जाती है।","Overtime Calculation,Bonus","बोनस,गणना"
275,Overtime Rules,"If workers do overtime, they must be paid double the normal wage rate.","यदि श्रमिक ओवरटाइम करते हैं, तो उन्हें सामान्य मजदूरी दर का दोगुना भुगतान किया जाना चाहिए।","Overtime,Rules","ओवरटाइम,नियम"
276,Worker's Right to Refuse,"Yes, workers have the right to refuse unsafe work without losing wages.","हाँ, श्रमिकों को मजदूरी खोए बिना असुरक्षित काम करने से मना करने का अधिकार है।","Unsafe Work,Refuse","असुरक्षित काम,मना करना"
277,Workplace Hygiene,"Regular cleaning of workplaces, proper disposal of waste, and a clean environment are mandatory.","कार्यस्थलों की नियमित सफाई, कचरे का उचित निपटान और एक स्वच्छ वातावरण अनिवार्य है।","Workplace Hygiene,Cleaning","कार्यस्थल स्वच्छता,सफाई"
278,Health Check-ups,"Regular health check-ups for workers in hazardous industries are mandatory under the law.","खतरनाक उद्योगों में श्रमिकों के लिए नियमित स्वास्थ्य जांच कानून के तहत अनिवार्य है।","Health Check-ups,Hazardous Industries","स्वास्थ्य जांच,खतरनाक उद्योग"
279,Trade Union Registration,"The Trade Unions Act, 1926, provides for the registration and regulation of trade unions.","ट्रेड यूनियंस अधिनियम, 1926, ट्रेड यूनियनों के पंजीकरण और विनियमन का प्रावधान करता है।","Trade Unions Act,Registration","ट्रेड यूनियंस अधिनियम,पंजीकरण"
280,Maternity Benefit Act,"The Maternity Benefit Act, 1961, ensures paid leave and benefits for women workers during maternity.","मातृत्व लाभ अधिनियम, 1961, मातृत्व के दौरान महिला श्रमिकों के लिए सशुल्क छुट्टी और लाभ सुनिश्चित करता है।","Maternity Benefit Act,Paid Leave","मातृत्व लाभ अधिनियम,सशुल्क अवकाश"
281,Child Labour Act,"The Child Labour (Prohibition & Regulation) Act, 1986, prohibits the employment of children below 14.","बाल श्रम (निषेध और विनियमन) अधिनियम, 1986, 14 वर्ष से कम उम्र के बच्चों के रोजगार पर प्रतिबंध लगाता है।","Child Labour Act,Prohibition","बाल श्रम अधिनियम,निषेध"
282,Equal Remuneration Act,"The Equal Remuneration Act, 1976, ensures that men and women get equal pay for equal work.","समान पारिश्रमिक अधिनियम, 1976, यह सुनिश्चित करता है कि पुरुषों और महिलाओं को समान काम के लिए समान वेतन मिले।","Equal Remuneration Act,Equal Pay","समान पारिश्रमिक अधिनियम,समान वेतन"
283,Industrial Employment Act,"The Industrial Employment (Standing Orders) Act, 1946, regulates the conditions of employment in industrial establishments.","औद्योगिक रोजगार (स्थायी आदेश) अधिनियम, 1946, औद्योगिक प्रतिष्ठानों में रोजगार की शर्तों को नियंत्रित करता है।","Industrial Employment Act,Standing Orders","औद्योगिक रोजगार अधिनियम,स्थायी आदेश"
284,Payment of Wages Act,"According to the Payment of Wages Act, wages must be paid before the 7th day of the next month.","भुगतान मजदूरी अधिनियम के अनुसार, मजदूरी अगले महीने की 7 तारीख से पहले दी जानी चाहिए।","Payment of Wages Act,Wage Payment","भुगतान मजदूरी अधिनियम,मजदूरी भुगतान"
285,Bonus Act,"The Payment of Bonus Act makes it mandatory for employers to pay a bonus to workers annually.","बोनस भुगतान अधिनियम नियोक्ताओं के लिए श्रमिकों को सालाना बोनस का भुगतान करना अनिवार्य बनाता है।","Payment of Bonus Act,Bonus","बोनस भुगतान अधिनियम,बोनस"
286,Factories Act,"The Factories Act, 1948, makes it mandatory for factories to ensure the safety and health of their workers.","कारखाना अधिनियम, 1948, कारखानों के लिए श्रमिकों की सुरक्षा और स्वास्थ्य सुनिश्चित करना अनिवार्य बनाता है।","Factories Act,Safety","कारखाना अधिनियम,सुरक्षा"
287,Interstate Migrant Workmen Act,"The Interstate Migrant Workmen Act, 1979, protects the rights of migrant workers.","अंतरराज्यीय प्रवासी कामगार अधिनियम, 1979, प्रवासी श्रमिकों के अधिकारों की रक्षा करता है।","Interstate Migrant Workmen Act,Rights","अंतरराज्यीय प्रवासी कामगार अधिनियम,अधिकार"
288,Contract Labour Act,"A licence under the Contract Labour (Regulation & Abolition) Act, 1970, is mandatory for contractors.","ठेका श्रम (विनियमन और उन्मूलन) अधिनियम, 1970 के तहत एक लाइसेंस ठेकेदारों के लिए अनिवार्य है।","Contract Labour Act,CLRA Licence","ठेका श्रम अधिनियम,सीएलआरए लाइसेंस"
289,Shops and Establishments Act,"All establishments employing 10 or more workers must register under the Shops and Establishments Act.","10 या अधिक श्रमिकों को रोजगार देने वाले सभी प्रतिष्ठानों को दुकानें और प्रतिष्ठान अधिनियम के तहत पंजीकरण करना होगा।","Shops and Establishments Act,Registration","दुकानें और प्रतिष्ठान अधिनियम,पंजीकरण"
290,Employees Provident Funds Act,"The Employees' Provident Funds and Miscellaneous Provisions Act provides for provident fund and pension.","कर्मचारी भविष्य निधि और विविध प्रावधान अधिनियम भविष्य निधि और पेंशन का प्रावधान करता है।","Employees Provident Funds Act,EPF","कर्मचारी भविष्य निधि अधिनियम,ईपीएफ"
291,Employees State Insurance Act,"Under the Employees' State Insurance Act, workers are entitled to medical care and sickness benefits.","कर्मचारी राज्य बीमा अधिनियम के तहत, श्रमिक चिकित्सा देखभाल और बीमारी लाभों के हकदार हैं।","Employees State Insurance Act,ESIC","कर्मचारी राज्य बीमा अधिनियम,ईएसआईसी"
292,Industrial Disputes Act,"The Industrial Disputes Act, 1947, has provisions for resolving industrial disputes and worker grievances.","औद्योगिक विवाद अधिनियम, 1947 में औद्योगिक विवादों और श्रमिक शिकायतों के समाधान के प्रावधान हैं।","Industrial Disputes Act,Grievances","औद्योगिक विवाद अधिनियम,शिकायत"
293,Worker Rights,"Workers have the right to a safe working environment and regular breaks.","श्रमिकों को एक सुरक्षित कार्य वातावरण और नियमित अवकाश का अधिकार है।","Worker Rights,Safe Environment","श्रमिक अधिकार,सुरक्षित वातावरण"
294,Wage Payment,"Final wages must be paid to a worker within two days of their resignation or termination.","किसी श्रमिक के इस्तीफे या समाप्ति के दो दिनों के भीतर अंतिम मजदूरी का भुगतान किया जाना चाहिए।","Final Wages,Payment","अंतिम मजदूरी,भुगतान"
295,Wage Deductions,"Employers cannot make unauthorized deductions from a worker's wages.","नियोक्ता श्रमिक के वेतन से अनधिकृत कटौती नहीं कर सकते।","Wage Deductions,Unauthorized","वेतन कटौती,अनधिकृत"
296,Bonus Payment,"The Payment of Bonus Act makes it mandatory for employers to pay a bonus to workers annually.","बोनस भुगतान अधिनियम नियोक्ताओं के लिए श्रमिकों को सालाना बोनस का भुगतान करना अनिवार्य बनाता है।","Bonus Payment,Annual Bonus","बोनस भुगतान,वार्षिक बोनस"
297,Leave Entitlement,"A worker is entitled to an annual leave with wages after working for a continuous period of 240 days.","एक श्रमिक लगातार 240 दिनों तक काम करने के बाद मजदूरी के साथ वार्षिक अवकाश का हकदार है।","Annual Leave,Paid Leave","वार्षिक अवकाश,सशुल्क अवकाश"
298,Leave Entitlement,"A worker is entitled to one paid holiday for every 20 days of work.","एक श्रमिक हर 20 दिनों के काम के लिए एक सशुल्क छुट्टी का हकदार है।","Paid Holiday,Leave","सशुल्क छुट्टी,अवकाश"
299,Working Hours,"Workers should not work more than 8 hours a day and 48 hours a week.","श्रमिकों को प्रतिदिन 8 घंटे और प्रति सप्ताह 48 घंटे से अधिक काम नहीं करना चाहिए।","Working Hours,Maximum","काम के घंटे,अधिकतम"
300,Health and Safety,"Workplaces are required to have adequate ventilation, lighting, and drinking water facilities.","कार्यस्थलों में पर्याप्त वेंटिलेशन, प्रकाश व्यवस्था और पीने के पानी की सुविधाएँ होना आवश्यक है।","Workplace Facilities,Safety","कार्यस्थल सुविधा,सुरक्षा"
301,Health and Safety,"Workplaces with over 100 workers must have an ambulance room for first aid and medical emergencies.","100 से अधिक श्रमिकों वाले कार्यस्थलों पर प्राथमिक चिकित्सा और चिकित्सा आपात स्थितियों के लिए एक एम्बुलेंस कक्ष होना चाहिए।","Ambulance Room,First Aid","एम्बुलेंस कक्ष,प्राथमिक चिकित्सा"
302,Health and Safety,"Regular health check-ups for workers in hazardous industries are mandatory under the law.","खतरनाक उद्योगों में श्रमिकों के लिए नियमित स्वास्थ्य जांच कानून के तहत अनिवार्य है।","Health Check-ups,Hazardous Industries","स्वास्थ्य जांच,खतरनाक उद्योग"
